DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
02/07/25;17:45:00;127.36;127.37;126.79;126.79;1368920
02/07/25;18:00:00;126.79;126.85;126.5;126.67;3087790
02/07/25;18:15:00;126.65;127.01;126.4;126.4;1400190
02/07/25;18:30:00;126.41;126.75;126.26;126.72;765230
02/07/25;18:45:00;126.72;126.72;126.72;126.72;136470
02/07/25;19:00:00;126.72;127.6;126.7;127.26;1784160
02/07/25;19:15:00;127.25;127.39;127.03;127.15;378010
02/07/25;19:30:00;127.15;127.41;127.06;127.25;317850
02/07/25;19:45:00;127.3;127.38;127;127.16;478140
02/07/25;20:00:00;127.14;127.38;127.08;127.37;178480
02/07/25;20:15:00;127.37;127.44;127.22;127.22;141240
02/07/25;20:30:00;127.22;127.32;127.14;127.29;108850
02/07/25;20:45:00;127.29;127.34;127.17;127.2;78710
02/07/25;21:00:00;127.19;127.2;126.93;126.98;223730
02/07/25;21:15:00;126.99;126.99;126.66;126.71;407310
02/07/25;21:30:00;126.71;126.91;126.42;126.67;736460
02/07/25;21:45:00;126.67;126.88;126.49;126.67;397230
02/07/25;22:00:00;126.68;126.88;126.65;126.78;230860
02/07/25;22:15:00;126.81;126.95;126.77;126.77;155100
02/07/25;22:30:00;126.76;126.87;126.61;126.86;219210
02/07/25;22:45:00;126.86;126.95;126.83;126.95;109900
02/07/25;23:00:00;126.95;126.95;126.87;126.91;27230
02/07/25;23:15:00;126.9;126.91;126.71;126.83;167440
02/07/25;23:30:00;126.84;126.98;126.79;126.97;239170
02/07/25;23:45:00;126.92;127.12;126.91;127.11;137440
03/07/25;06:45:00;127.12;127.12;127.12;127.12;4500
03/07/25;07:00:00;127.12;127.34;126.89;127;201210
03/07/25;07:15:00;127;127.19;126.96;127.09;132370
03/07/25;07:30:00;127.09;127.1;126.91;126.95;261940
03/07/25;07:45:00;126.98;127;126.84;126.87;80770
03/07/25;08:00:00;126.86;126.9;126.86;126.89;35250
03/07/25;08:15:00;126.89;127.18;126.89;127.09;121960
03/07/25;08:30:00;127.09;127.17;126.92;127.17;169770
03/07/25;08:45:00;127.15;127.56;127.14;127.55;318010
03/07/25;09:00:00;127.55;127.56;127.07;127.13;260870
03/07/25;09:15:00;127.13;127.4;127.06;127.31;301620
03/07/25;09:30:00;127.31;127.36;127.16;127.34;126320
03/07/25;09:45:00;127.34;127.34;126.71;126.92;854260
03/07/25;10:00:00;126.89;126.89;126.5;126.63;600520
03/07/25;10:15:00;126.63;126.82;126.3;126.7;1285800
03/07/25;10:30:00;126.74;126.78;126.62;126.67;348110
03/07/25;10:45:00;126.65;127.54;126.62;127.36;1681520
03/07/25;11:00:00;127.36;128.2;127.23;127.94;3274750
03/07/25;11:15:00;127.94;128.15;127.81;127.87;1342230
03/07/25;11:30:00;127.87;128.39;127.76;128.25;1996050
03/07/25;11:45:00;128.24;128.81;128.09;128.61;1864080
03/07/25;12:00:00;128.61;128.85;128.27;128.32;1822130
03/07/25;12:15:00;128.32;128.47;128.26;128.39;390390
03/07/25;12:30:00;128.41;128.6;128.08;128.16;924630
03/07/25;12:45:00;128.13;128.22;127.93;128.18;918250
03/07/25;13:00:00;128.19;128.4;128.05;128.09;585740
03/07/25;13:15:00;128.07;128.36;127.92;128.24;479320
03/07/25;13:30:00;128.24;128.24;127.95;128.05;466600
03/07/25;13:45:00;128.05;128.52;128.05;128.29;589090
03/07/25;14:00:00;128.29;128.43;128.06;128.15;269310
03/07/25;14:15:00;128.15;128.4;127.95;128.1;576870
03/07/25;14:30:00;128.07;128.47;127.94;128.29;463610
03/07/25;14:45:00;128.29;128.37;127.94;128.09;548680
03/07/25;15:00:00;128.08;128.1;127.84;128.02;563510
03/07/25;15:15:00;128.02;128.29;128.02;128.16;583110
03/07/25;15:30:00;128.17;128.27;128;128.08;733330
03/07/25;15:45:00;128.08;128.1;127.81;128.07;1395910
03/07/25;16:00:00;128.05;128.05;127.75;127.9;511030
03/07/25;16:15:00;127.9;129.4;127.89;128.75;4710310
03/07/25;16:30:00;128.75;128.97;128.52;128.96;1715120
03/07/25;16:45:00;128.96;129.35;128.92;129.1;1900010
03/07/25;17:00:00;129.11;129.18;128.81;129.04;1120840
03/07/25;17:15:00;129.03;129.2;128.81;128.99;606770
03/07/25;17:30:00;129;129;128.65;128.73;683200
03/07/25;17:45:00;128.74;128.97;128.68;128.76;774280
03/07/25;18:00:00;128.79;128.84;128.33;128.63;1221670
03/07/25;18:15:00;128.64;128.7;128.35;128.61;569770
03/07/25;18:30:00;128.61;128.91;128.59;128.84;539040
03/07/25;18:45:00;128.67;128.67;128.67;128.67;48880
03/07/25;19:00:00;128.6;128.93;128.59;128.76;257650
03/07/25;19:15:00;128.76;128.89;128.11;128.14;1726400
03/07/25;19:30:00;128.14;128.29;127.8;128;1398100
03/07/25;19:45:00;127.98;128.18;127.85;127.97;540800
03/07/25;20:00:00;127.97;127.97;127.55;127.65;883230
03/07/25;20:15:00;127.66;127.84;127.65;127.78;227450
03/07/25;20:30:00;127.77;128;127.64;127.99;388410
03/07/25;20:45:00;127.98;128.12;127.68;127.75;393800
03/07/25;21:00:00;127.72;127.95;127.63;127.95;300670
03/07/25;21:15:00;127.94;127.99;127.9;127.96;63010
03/07/25;21:30:00;127.96;127.96;127.82;127.9;63260
03/07/25;21:45:00;127.9;127.9;127.71;127.83;128770
03/07/25;22:00:00;127.83;127.97;127.78;127.78;82470
03/07/25;22:15:00;127.83;127.97;127.78;127.97;75620
03/07/25;22:30:00;127.97;127.99;127.86;127.91;73640
03/07/25;22:45:00;127.92;127.92;127.75;127.75;106780
03/07/25;23:00:00;127.75;127.91;127.73;127.75;261050
03/07/25;23:15:00;127.75;127.84;127.7;127.72;156030
03/07/25;23:30:00;127.73;127.91;127.73;127.86;137670
03/07/25;23:45:00;127.84;127.9;127.84;127.85;76510
04/07/25;06:45:00;127.39;127.39;127.39;127.39;91820
04/07/25;07:00:00;127.39;127.39;126.73;126.91;1368360
04/07/25;07:15:00;126.9;127.18;126.6;127.09;830070
04/07/25;07:30:00;127.09;127.37;126.97;127.15;318400
04/07/25;07:45:00;127.12;127.35;126.98;127.34;169780
04/07/25;08:00:00;127.34;127.36;127.07;127.07;119500
04/07/25;08:15:00;127.09;127.15;126.9;126.94;166910
04/07/25;08:30:00;126.94;127.39;126.91;127.38;321450
04/07/25;08:45:00;127.38;127.45;127.23;127.39;110130
04/07/25;09:00:00;127.39;128.02;127.38;127.67;741580
04/07/25;09:15:00;127.68;128.16;127.64;127.86;1145660
04/07/25;09:30:00;127.88;128.01;127.75;127.92;296680
04/07/25;09:45:00;127.92;127.98;127.42;127.45;441110
04/07/25;10:00:00;127.47;127.84;126.94;127.52;2513260
04/07/25;10:15:00;127.5;128;127.41;127.74;771550
04/07/25;10:30:00;127.73;127.9;127.2;127.37;1220870
04/07/25;10:45:00;127.37;127.44;127.02;127.03;732210
04/07/25;11:00:00;127.03;127.24;127;127.14;762470
04/07/25;11:15:00;127.18;127.46;127.11;127.26;901620
04/07/25;11:30:00;127.27;127.37;126.84;127.01;1087460
04/07/25;11:45:00;127;127.35;126.9;127.23;837470
04/07/25;12:00:00;127.23;127.31;127.02;127.2;568070
04/07/25;12:15:00;127.2;127.31;127.11;127.21;354520
04/07/25;12:30:00;127.2;127.49;127;127.48;617260
04/07/25;12:45:00;127.48;127.97;127.32;127.9;1074030
04/07/25;13:00:00;127.9;128.27;127.84;127.88;1085110
04/07/25;13:15:00;127.88;128.14;127.71;127.95;935760
04/07/25;13:30:00;127.92;128.25;127.88;128.16;739250
04/07/25;13:45:00;128.18;128.28;127.97;128.19;826790
04/07/25;14:00:00;128.2;128.28;127.99;127.99;562910
04/07/25;14:15:00;128;128.36;127.92;128.28;891540
04/07/25;14:30:00;128.28;128.6;128.13;128.6;1441550
04/07/25;14:45:00;128.6;128.73;128.4;128.4;769440
04/07/25;15:00:00;128.41;128.8;128.26;128.41;902510
04/07/25;15:15:00;128.38;128.38;128.1;128.25;671720
04/07/25;15:30:00;128.25;128.48;128.16;128.38;669200
04/07/25;15:45:00;128.38;128.39;127.7;127.7;792420
04/07/25;16:00:00;127.72;127.92;127.57;127.66;713680
04/07/25;16:15:00;127.69;127.83;127.36;127.5;726420
04/07/25;16:30:00;127.48;127.64;127.24;127.44;627000
04/07/25;16:45:00;127.44;127.56;127.41;127.54;269140
04/07/25;17:00:00;127.55;127.62;127.35;127.38;435340
04/07/25;17:15:00;127.38;127.51;127.34;127.34;316950
04/07/25;17:30:00;127.37;127.88;127.37;127.71;452450
04/07/25;17:45:00;127.7;127.75;127.56;127.67;231870
04/07/25;18:00:00;127.66;127.76;127.51;127.66;510250
04/07/25;18:15:00;127.65;127.68;127.27;127.29;475060
04/07/25;18:30:00;127.3;127.43;127.29;127.32;218320
04/07/25;18:45:00;127.31;127.31;127.31;127.31;24400
04/07/25;19:00:00;127.49;127.49;127.27;127.27;180450
04/07/25;19:15:00;127.27;127.45;127.24;127.35;160510
04/07/25;19:30:00;127.35;127.45;127.33;127.34;56600
04/07/25;19:45:00;127.35;127.48;127.34;127.36;76230
04/07/25;20:00:00;127.36;127.41;127.25;127.37;121980
04/07/25;20:15:00;127.36;127.62;127.36;127.55;179550
04/07/25;20:30:00;127.55;127.56;127.45;127.46;81940
04/07/25;20:45:00;127.46;127.47;127.26;127.32;109600
04/07/25;21:00:00;127.32;127.47;127.32;127.47;127000
04/07/25;21:15:00;127.47;127.48;127.38;127.4;77760
04/07/25;21:30:00;127.4;127.51;127.4;127.51;47200
04/07/25;21:45:00;127.51;127.68;127.51;127.64;230140
04/07/25;22:00:00;127.64;127.66;127.45;127.48;82870
04/07/25;22:15:00;127.46;127.65;127.46;127.47;159150
04/07/25;22:30:00;127.47;127.51;127.45;127.5;49160
04/07/25;22:45:00;127.5;127.5;127.45;127.5;51270
04/07/25;23:00:00;127.48;127.66;127.45;127.63;152370
04/07/25;23:15:00;127.62;127.71;127.6;127.65;137380
04/07/25;23:30:00;127.65;127.86;127.64;127.85;231190
04/07/25;23:45:00;127.85;127.89;127.82;127.83;162730
05/07/25;09:45:00;127.72;127.72;127.72;127.72;4030
05/07/25;10:00:00;127.72;127.91;127.41;127.89;183040
05/07/25;10:15:00;127.89;127.89;127.8;127.87;39140
05/07/25;10:30:00;127.87;127.88;127.71;127.73;31900
05/07/25;10:45:00;127.71;127.76;127.6;127.71;45440
05/07/25;11:00:00;127.75;127.8;127.7;127.8;61750
05/07/25;11:15:00;127.8;127.89;127.79;127.87;38970
